YearBuilt,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,YrSold,SalePrice
1977,0,1411,2,0,3,6,2009,82500
1954,0,1056,1,0,3,6,2007,139400
1980,0,1056,0,0,0,4,2010,144000
1914,1440,3395,2,0,8,14,2007,200000
1936,0,800,1,0,1,4,2009,60000
1954,576,1387,2,0,3,7,2009,93000
1910,0,796,1,0,2,4,2008,85000
2006,0,1567,2,0,1,7,2006,264561
2003,0,1518,1,1,1,6,2008,274000
2001,872,1929,2,1,3,7,2007,226000
1972,704,2704,2,1,4,9,2009,345000
1969,840,1620,2,1,4,7,2007,152000
2009,0,1766,2,1,2,7,2009,370878
1971,0,981,1,1,3,5,2007,143250
1950,0,1048,1,0,3,7,2008,98300
1953,0,1094,1,0,3,5,2008,155000
1966,788,1839,1,1,4,7,2010,155000
1970,0,630,1,0,1,3,2007,84500
2007,843,1665,2,1,3,7,2008,205950
1940,755,1510,1,0,4,7,2009,108000
1996,807,1716,2,1,2,7,2009,191000
1906,713,1469,1,0,3,7,2008,135000
1995,0,2113,2,1,2,7,2008,350000
1971,567,1092,1,1,3,6,2010,88000
1959,0,1053,1,1,3,5,2008,145500
1931,651,1502,1,1,3,6,2008,149000
1948,546,1458,1,0,3,6,2010,97500
1964,0,1486,1,0,3,7,2009,167000
1976,793,1935,2,1,3,7,2007,197900
1994,762,2448,2,1,4,8,2009,402000
1968,0,1392,1,0,2,5,2009,110000
1972,0,1181,2,0,3,6,2008,137500
2005,0,2097,1,1,1,8,2006,423000
2000,482,1936,2,1,3,7,2006,230500
1965,915,2380,2,1,3,7,2007,129000
1994,0,1679,2,0,3,7,2008,193500
1956,0,1437,1,1,3,6,2006,168000
1922,0,1180,1,0,2,5,2006,137500
2005,738,1476,2,1,3,7,2009,173500
1925,672,1369,2,0,3,6,2009,103600
1977,0,1208,1,1,3,6,2006,165000
1957,0,1839,2,0,3,7,2007,257500
1965,0,1136,1,0,3,5,2008,140000
1978,586,1441,2,1,3,7,2009,148500
1900,679,1774,2,0,4,8,2006,87000
1924,0,792,1,0,2,5,2009,109500
2008,0,2046,2,1,3,7,2009,372500
1961,0,988,1,0,3,5,2007,128500
1980,0,923,2,0,2,5,2010,143000
1932,672,1520,1,0,3,6,2009,159434
1996,0,1291,1,0,2,6,2008,173000
2002,0,1668,2,0,3,7,2007,285000
1998,644,1839,2,1,4,7,2010,221000
1984,900,2090,2,0,3,6,2007,207500
2007,887,1761,3,0,3,7,2007,227875
2004,551,1102,2,1,2,4,2007,148800
2007,0,1419,2,0,2,7,2007,392000
2005,0,1362,2,0,2,6,2007,194700
2004,0,848,1,0,1,3,2008,141000
1994,1872,4316,3,1,4,10,2007,755000
1989,1281,2519,2,1,4,9,2006,335000
1921,0,1073,1,0,2,4,2006,108480
1936,472,1539,1,1,3,5,2009,141500
1987,0,1137,2,0,2,5,2006,176000
1921,0,616,1,0,2,4,2006,89000
1952,0,1148,1,0,2,6,2006,123500
1965,0,894,1,0,3,5,2010,138500
2004,0,1391,2,0,2,5,2008,196000
2002,0,1800,2,0,3,7,2006,312500
1969,0,1164,1,1,3,6,2006,140000
2006,1312,2576,2,1,4,10,2006,361919
1900,780,1812,2,0,4,8,2010,140000
2004,0,1484,2,0,3,7,2010,213000
1930,720,1092,2,0,3,7,2010,55000
1971,0,1824,2,0,2,5,2007,302000
2006,0,1324,2,0,2,6,2009,254000
2007,728,1456,2,1,3,8,2007,179540
1966,0,904,1,0,3,6,2008,109900
1935,0,729,1,0,2,5,2008,52000
1900,319,1178,1,0,2,7,2010,102776
1988,0,1228,2,0,2,5,2008,189000
1970,0,960,1,0,3,6,2006,129000
1976,754,1479,2,1,3,6,2010,130500
1974,0,1350,2,0,3,7,2009,165000
1890,978,2554,1,1,3,8,2007,159500
1973,0,1178,1,1,3,5,2008,157000
1993,1093,2418,2,1,3,9,2008,341000
1969,0,971,1,1,3,5,2006,128500
1985,0,1742,2,0,2,5,2006,275000
2004,0,848,1,0,1,3,2010,143000
1970,0,864,1,0,3,5,2009,124500
1954,473,1470,2,0,4,7,2008,135000
2007,0,1698,2,0,3,8,2009,320000
1970,0,864,1,0,3,5,2009,120500
1988,0,1680,2,0,3,5,2009,222000
2007,0,1232,2,0,2,6,2009,194500
1958,0,1776,2,0,4,9,2009,110000
1925,0,1208,1,0,2,5,2009,103000
1995,0,1616,2,0,2,5,2010,236500
2003,0,1146,2,0,3,6,2007,187500
1998,878,2031,2,1,3,8,2008,222500
1961,0,1144,1,0,3,6,2009,131400
1968,0,948,1,0,3,6,2007,108000
1914,888,1768,1,1,2,6,2006,163000
1950,0,1040,2,0,2,6,2006,93500
2005,900,1801,2,1,3,8,2006,239900
1987,0,1200,3,0,3,5,2009,179000
2004,864,1728,2,1,3,7,2009,190000
1910,664,1432,2,0,2,7,2007,132000
1961,0,912,1,0,3,5,2008,142000
2000,0,1349,2,0,3,6,2007,179000
1963,0,1464,2,0,3,6,2009,175000
1993,0,1337,2,0,2,5,2008,180000
1976,1540,2715,3,1,4,11,2008,299800
2000,1276,2256,2,1,4,8,2009,236000
1880,1320,2640,1,1,4,8,2009,265979
1996,0,1720,2,0,3,7,2010,260400
1945,441,1529,2,0,4,9,2009,98000
1910,348,1140,1,0,3,7,2010,96500
2003,660,1320,2,1,3,6,2007,162000
1997,0,1494,2,0,3,6,2006,217000
2005,1060,2098,2,1,3,8,2006,275500
1969,0,1026,1,0,3,5,2009,156000
1999,729,1471,2,1,3,6,2009,172500
2007,902,1768,2,1,3,7,2009,212000
1978,714,1386,2,1,3,6,2010,158900
1999,744,1501,2,1,3,6,2008,179400
1995,1203,2531,2,1,4,9,2007,290000
1959,0,864,1,0,2,5,2009,127500
1924,0,1301,1,0,2,5,2009,100000
2009,783,1547,2,1,3,7,2010,215200
1999,1097,2365,2,1,3,8,2009,337000
1995,0,1494,1,1,2,6,2006,270000
2008,0,1506,2,0,2,6,2008,264132
1988,734,1714,2,1,3,7,2010,196500
1940,767,1750,2,0,4,7,2008,160000
2004,0,1836,2,0,3,8,2006,216837
2003,1589,3279,3,1,4,12,2010,538000
1982,0,858,1,0,2,5,2009,134900
1951,0,1220,1,0,2,6,2006,102000
1976,0,1117,1,0,3,6,2010,107000
1958,0,912,1,0,2,5,2007,114500
2006,0,1973,2,0,3,9,2007,395000
1998,0,1204,2,0,2,5,2009,162000
2005,0,1614,2,0,3,7,2006,221500
1974,0,894,1,0,3,5,2006,142500
1977,0,2020,2,0,4,10,2007,144000
1977,0,1004,1,0,2,4,2006,135000
1995,0,1253,2,0,3,6,2007,176000
1992,793,1603,2,1,3,7,2006,175900
2001,0,1430,2,0,3,6,2009,187100
1978,0,1110,1,0,1,4,2009,165500
1914,742,1484,2,0,3,9,2008,128000
1967,0,1342,2,0,3,7,2009,161500
1915,686,1652,2,0,4,7,2010,139000
2004,1128,2084,2,1,4,8,2010,233000
1954,0,901,1,0,2,4,2008,107900
1966,1111,2087,2,1,5,9,2007,187500
2005,0,1145,2,0,2,5,2009,160200
1976,0,1062,1,0,3,5,2007,146800
1996,886,2013,2,1,3,8,2007,269790
2007,0,1496,2,0,3,7,2007,225000
1994,809,1895,2,1,3,7,2008,194500
1980,676,1564,2,1,3,7,2010,171000
1977,0,1285,1,1,3,7,2007,143500
1953,0,773,1,0,2,4,2008,110000
2008,1174,3140,3,1,4,11,2009,485000
1937,787,1768,1,1,3,7,2007,175000
1997,1072,1688,2,1,4,8,2008,200000
1916,0,1196,1,0,2,5,2007,109900
2005,728,1456,2,1,3,7,2008,189000
2008,1088,2822,3,1,4,12,2009,582933
1954,0,1128,1,0,2,5,2006,118000
2008,0,1428,2,0,3,6,2008,227680
1967,0,980,2,0,3,6,2006,135500
1923,504,1576,1,1,3,6,2009,223500
1966,0,1086,1,0,3,6,2006,159950
1898,1063,2138,2,0,2,11,2009,106000
1974,0,1309,1,1,3,5,2006,181000
2004,0,848,1,0,1,4,2008,144500
1952,0,1044,1,0,2,4,2010,55993
1958,0,1442,1,1,4,7,2007,157900
1918,564,1250,1,1,3,7,2006,116000
1998,0,1661,2,0,3,6,2010,224900
1954,0,1008,1,0,2,4,2006,137000
2002,0,1689,2,0,3,7,2008,271000
1971,0,1052,1,0,3,6,2010,155000
2009,0,1358,2,0,2,6,2010,224000
2003,842,1640,2,1,3,6,2008,183000
1953,0,936,1,0,2,4,2009,93000
2003,886,1733,2,1,3,7,2007,225000
1940,545,1489,2,0,3,7,2009,139500
2006,0,1489,2,0,3,7,2006,232600
2007,0,2084,2,0,2,7,2008,385000
1924,0,784,1,0,2,5,2008,109500
2001,0,1434,2,0,3,6,2009,189000
1967,966,2126,2,1,3,7,2009,185000
2005,623,1223,2,1,2,4,2006,147400
1957,0,1392,1,1,3,6,2008,166000
2005,600,1200,2,1,2,4,2006,151000
2003,888,1829,2,1,3,7,2010,237000
1964,0,1516,1,1,3,6,2009,167000
1961,0,1144,1,0,3,6,2008,139950
1950,0,1067,2,0,2,4,2010,128000
1948,0,1559,1,0,2,5,2007,153500
1973,504,987,1,1,2,5,2008,100000
1995,0,1099,1,1,3,6,2008,144000
1946,432,1200,1,0,3,6,2008,130500
1925,672,1482,2,0,4,7,2008,140000
1904,581,1539,2,0,3,8,2008,157500
1966,0,1165,1,1,3,6,2008,174900
1961,0,1800,2,0,6,10,2007,141000
1915,540,1416,1,1,4,7,2008,153900
1975,0,1701,2,0,3,6,2007,171000
1993,769,1775,2,1,3,7,2009,213000
1972,0,864,1,0,3,5,2009,133500
1908,1051,2358,3,0,5,10,2008,240000
1976,761,1855,2,1,3,7,2007,187000
2003,0,848,1,0,1,3,2007,131500
2003,0,1456,2,0,2,7,2006,215000
1941,728,1646,2,0,4,7,2007,164000
1964,0,1445,1,1,3,7,2009,158000
1955,0,1779,1,1,3,6,2006,170000
1962,0,1040,1,1,3,6,2010,127000
1978,0,1026,1,0,3,5,2008,147000
1994,779,1481,2,1,3,6,2009,174000
1976,0,1370,2,0,3,6,2009,152000
1968,1142,2654,2,1,4,9,2006,250000
1918,514,1426,1,1,3,7,2007,189950
1965,0,1039,1,1,3,6,2010,131500
1984,0,1097,2,0,3,6,2010,152000
1959,0,1148,1,0,3,6,2009,132500
2007,0,1372,2,0,3,6,2008,250580
1970,0,1002,1,0,3,5,2009,148500
2006,0,1646,2,0,3,6,2007,248900
1961,0,1120,1,1,3,5,2007,129000
1948,720,2320,2,0,2,7,2006,169000
1993,887,1949,2,1,3,8,2010,236000
1962,0,894,1,0,2,5,2009,109500
1998,878,1682,2,1,3,7,2010,200500
1953,0,910,1,0,3,5,2008,116000
1949,0,1268,1,0,3,6,2009,133000
1941,455,1131,1,1,3,5,2009,66500
2007,1426,2610,2,1,4,11,2007,303477
1963,0,1040,1,0,3,5,2007,132250
2004,762,2224,2,1,4,10,2009,350000
1961,0,1155,1,0,3,6,2010,148000
1978,0,864,1,0,3,6,2009,136500
2005,0,1090,1,1,2,5,2007,157000
1990,530,1717,2,1,3,7,2007,187500
1992,785,1593,2,1,3,7,2009,178000
1912,795,2230,1,0,5,10,2006,118500
1967,0,892,1,0,3,5,2009,100000
1999,0,1709,2,0,2,5,2008,328900
1959,0,1712,2,0,4,8,2006,145000
1955,521,1393,1,1,3,8,2008,135500
1970,0,2217,2,0,4,8,2007,268000
1953,0,1505,1,0,2,6,2009,149500
1949,252,924,1,0,3,6,2007,122900
1978,765,1683,2,1,3,7,2009,172500
1963,0,1068,1,0,3,6,2006,154500
1954,0,1383,1,0,3,6,2008,165000
1979,0,1535,2,0,4,8,2009,118858
1963,813,1796,1,1,4,8,2008,140000
1936,0,951,1,0,2,6,2006,106500
1979,1120,2240,2,0,6,12,2009,142953
2009,0,2364,2,1,2,11,2010,611657
1961,0,1236,1,0,3,6,2006,135000
1971,0,858,1,0,2,4,2007,110000
1957,0,1306,1,0,2,5,2009,153000
2003,702,1509,2,1,3,8,2006,180000
2006,0,1670,2,0,3,7,2006,240000
1967,0,902,1,0,3,6,2007,125500
1954,0,1063,1,0,3,6,2010,128000
2006,0,1636,2,0,3,8,2007,255000
1936,1037,2057,1,1,3,6,2006,250000
1983,0,902,1,0,2,5,2006,131000
2005,742,1484,2,1,3,8,2009,174000
1960,1169,2274,2,0,5,12,2010,154300
1977,0,1268,1,1,3,5,2009,143500
1925,0,1015,1,0,3,6,2006,88000
1949,1001,2002,2,0,4,8,2007,145000
2009,612,1224,2,1,2,4,2009,173733
1970,546,1092,1,1,3,6,2007,75000
1949,0,480,0,0,1,4,2006,35311
1956,0,1229,1,0,3,6,2009,135000
1991,1215,2127,2,1,4,8,2007,238000
1958,0,1414,1,0,3,6,2008,176500
1994,785,1721,2,1,3,7,2007,201000
1900,928,2200,2,2,4,9,2008,145900
2005,0,1316,2,0,3,6,2006,169990
1993,0,1617,2,0,2,5,2008,193000
1980,0,1686,2,0,3,7,2006,207500
1977,0,1126,2,0,3,6,2008,175000
2003,1140,2374,2,1,4,10,2007,285000
1968,880,1978,2,1,4,9,2008,176000
2001,0,1788,2,0,3,7,2009,236500
1997,1243,2236,2,1,4,8,2006,222000
2007,0,1466,2,0,3,7,2009,201000
1965,0,925,1,0,2,5,2009,117500
2006,0,1905,2,0,3,8,2007,320000
2004,0,1500,2,0,3,6,2009,190000
1960,0,2069,2,0,4,9,2008,242000
1926,0,747,1,0,1,5,2006,79900
2003,0,1200,2,0,2,5,2009,184900
2005,858,1971,2,1,3,8,2009,253000
2006,571,1962,2,1,3,7,2006,239799
1940,1196,2403,2,0,4,10,2010,244400
1976,0,1728,2,0,4,8,2006,150900
1999,1038,2060,2,1,3,8,2009,214000
1977,0,1440,2,0,4,8,2007,150000
1967,0,1632,2,0,4,8,2007,143000
1958,0,1344,1,0,3,7,2009,137500
1890,561,1869,1,0,2,7,2009,124900
1959,0,1144,1,0,3,6,2006,143000
2002,0,1629,2,0,3,9,2007,270000
2002,840,1776,2,1,3,7,2006,192500
1972,0,1381,1,1,3,5,2010,197500
1950,0,864,1,0,3,5,2007,129000
1965,0,965,1,0,3,6,2006,119900
1972,0,768,1,0,2,5,2009,133900
1969,800,1968,2,1,4,7,2008,172000
1975,0,980,2,0,4,4,2006,127500
1946,979,1958,2,0,4,8,2007,145000
1980,668,1229,1,1,2,5,2009,124000
1962,0,1057,1,0,3,6,2007,132000
2003,0,1337,2,0,3,6,2007,185000
1999,720,1416,2,1,3,6,2010,155000
1958,0,858,1,0,2,4,2010,116500
1977,1330,2872,2,1,4,11,2008,272000
1976,744,1548,2,1,3,7,2007,155000
2007,0,1800,2,0,2,7,2009,239000
2002,1070,1894,2,1,4,8,2010,214900
2005,701,1484,2,1,3,8,2007,178900
1940,332,1308,1,1,2,7,2009,160000
1955,0,1098,1,0,3,6,2008,135000
1910,368,968,1,0,2,6,2009,37900
1958,0,1095,1,0,2,6,2006,140000
1949,472,1192,1,1,4,6,2006,135000
2003,862,1626,2,0,2,6,2009,173000
1979,0,918,2,0,2,5,2010,99500
2007,0,1428,2,0,3,6,2008,182000
1910,883,2019,1,0,3,8,2009,167500
2000,709,1382,2,1,3,6,2006,165000
1923,0,869,1,0,2,4,2006,85500
2006,0,1241,1,1,1,4,2007,199900
1954,0,894,1,0,3,5,2007,110000
1963,0,1121,1,0,3,5,2009,139000
1961,0,999,1,0,3,6,2008,178400
1998,1336,2612,2,1,4,8,2009,336000
2007,0,1266,2,0,2,6,2008,159895
2002,1141,2290,2,1,4,9,2008,255900
1977,432,1734,2,0,4,8,2009,126000
1950,0,1164,1,0,3,5,2008,125000
1910,634,1635,1,0,2,5,2006,117000
2009,0,1940,2,1,3,8,2010,395192
1976,912,2030,2,1,4,8,2007,195000
2006,798,1576,2,1,3,6,2006,197000
1997,985,2392,2,1,3,7,2006,348000
1882,826,1742,1,1,4,8,2009,168000
1964,831,1851,2,1,3,7,2007,187000
2005,750,1500,2,1,3,6,2006,173900
2006,0,1718,2,0,3,7,2009,337500
1946,456,1230,1,1,3,5,2006,121600
1961,0,1050,1,0,3,6,2006,136500
1970,0,1442,2,0,2,6,2009,185000
1922,0,1077,1,0,3,6,2006,91000
2006,0,1208,2,0,2,6,2010,206000
1952,0,944,1,0,2,4,2009,82000
1920,0,691,1,0,2,4,2007,86000
2006,0,1574,2,0,3,7,2008,232000
1976,0,1680,2,0,4,8,2007,136905
2005,0,1504,2,0,1,7,2009,181000
1977,0,985,2,0,3,6,2008,149900
1970,0,1657,2,0,3,7,2007,163500
1970,546,1092,1,1,3,6,2009,88000
2004,0,1710,2,0,3,7,2009,240000
1926,0,1522,2,0,4,7,2006,102000
1948,551,1271,2,0,4,7,2008,135000
1965,0,1664,2,0,4,8,2010,100000
1923,602,1502,1,1,3,7,2007,165000
1910,0,1022,1,0,2,4,2009,85000
1948,0,1082,1,0,2,5,2007,119200
2001,855,1665,2,1,3,6,2009,227000
1996,0,1504,2,0,3,6,2009,203000
1984,0,1360,1,0,1,4,2009,187500
1991,670,1472,2,1,3,7,2007,160000
2005,0,1506,2,0,2,6,2006,213490
2005,0,1132,1,1,2,5,2008,176000
2006,0,1220,2,0,2,6,2006,194000
1930,336,1248,1,0,2,6,2007,87000
2005,0,1504,2,0,2,7,2008,191000
1976,0,2898,2,0,2,10,2008,287000
1972,0,882,1,0,3,5,2007,112500
1960,0,1264,1,0,3,6,2010,167500
2007,0,1646,2,0,3,7,2008,293077
1941,408,1376,1,0,3,6,2007,105000
1972,546,1218,1,1,3,7,2006,118000
1916,980,1928,2,0,5,10,2006,160000
1920,998,3082,2,1,5,12,2009,197000
1993,1168,2520,2,1,5,10,2006,310000
2002,0,1654,2,0,3,6,2006,230000
1938,0,954,1,0,2,5,2007,119750
1957,0,845,1,0,3,5,2009,84000
2007,0,1620,2,0,2,6,2009,315500
2001,1208,2263,2,1,3,7,2008,287000
1970,546,1344,1,1,3,6,2009,97000
1970,0,630,1,0,1,3,2009,80000
1957,0,1803,2,0,3,8,2006,155000
1966,832,1632,1,1,4,7,2008,173000
2005,0,1306,2,0,1,5,2009,196000
1990,797,2329,2,1,4,10,2008,262280
1981,0,2524,2,1,4,9,2009,278000
1955,0,1733,2,0,4,8,2009,139600
2005,876,2868,3,1,4,11,2006,556581
1994,0,990,1,0,3,5,2008,145000
1960,0,1771,1,0,3,9,2009,115000
1946,0,930,1,0,2,6,2010,84900
2007,0,1302,2,0,3,6,2007,176485
2007,0,1316,2,0,3,6,2007,200141
1964,850,1977,1,1,4,9,2007,165000
1957,0,1526,1,0,4,7,2010,144500
2002,898,1989,2,1,3,7,2006,255000
1976,0,1523,2,0,3,7,2008,180000
2005,0,1364,2,0,2,6,2006,185850
1994,871,1850,2,1,3,7,2009,248000
2008,1054,2184,2,1,3,10,2009,335000
1932,895,1991,1,1,3,7,2007,220000
2001,0,1338,2,0,2,6,2010,213500
1935,0,894,1,0,2,6,2008,81000
1900,915,2337,2,0,5,10,2007,90000
1925,0,1103,1,0,2,5,2006,110500
1966,0,1154,1,1,3,6,2009,154000
1996,954,2260,2,1,3,7,2010,328000
1993,772,1571,2,1,3,7,2009,178000
1964,813,1611,1,1,4,7,2008,167900
1973,1230,2521,2,1,5,10,2006,151400
1949,0,893,1,0,2,4,2007,135000
1956,0,1048,1,0,3,6,2007,135000
1968,727,1556,1,1,4,8,2009,154000
1948,454,1456,1,0,4,7,2006,91500
1977,728,1426,1,1,3,6,2009,159500
2006,0,1240,2,0,2,5,2007,194000
1940,780,1740,1,1,3,6,2007,219500
1936,370,1466,2,0,3,7,2006,170000
1969,0,1096,1,0,3,6,2006,138800
2004,0,848,1,0,1,3,2006,155900
1994,0,990,1,0,3,5,2007,126000
1971,0,1258,2,0,3,5,2008,145000
1963,0,1040,1,1,3,5,2010,133000
2002,0,1459,2,0,3,6,2007,192000
1964,0,1251,1,0,3,6,2006,160000
1995,807,1498,2,1,3,6,2006,187500
1992,0,996,1,0,2,5,2010,147000
1973,546,1092,1,1,3,6,2010,83500
2005,871,1953,2,1,3,9,2009,252000
2004,739,1709,2,0,3,7,2006,137500
2005,0,1247,1,1,1,4,2006,197000
1950,0,1040,2,0,2,6,2009,92900
1999,628,1252,2,1,2,4,2008,160000
1925,304,1694,2,0,4,7,2008,136500
1965,0,1200,1,1,1,6,2006,146000
1956,0,936,1,0,2,4,2010,129000
2006,0,1314,2,0,3,6,2007,176432
1914,582,1355,1,1,3,7,2007,127000
1986,0,1088,1,1,2,5,2007,170000
1936,567,1324,1,0,3,6,2009,128000
1978,0,1601,2,0,3,7,2009,157000
1920,0,438,1,0,1,3,2009,60000
1971,0,950,1,0,3,5,2007,119500
1960,0,1134,1,0,2,6,2007,135000
1959,0,1194,1,0,3,6,2006,159500
1970,672,1302,2,1,3,6,2007,106000
1994,1122,2622,2,1,3,9,2010,325000
1990,0,1442,2,0,3,6,2007,179900
2006,1134,2021,2,1,3,9,2006,274725
2000,742,1690,2,1,3,7,2007,181000
2004,0,1836,2,0,3,7,2009,280000
1995,885,1658,2,1,3,8,2008,188000
1976,866,1964,2,1,4,8,2008,205000
1957,0,816,1,0,2,5,2006,129900
1953,0,1008,1,0,2,6,2007,134500
1954,0,833,1,0,2,4,2006,117000
2007,0,1734,2,0,3,7,2007,318000
2002,640,1419,2,1,3,7,2009,184100
1967,0,894,1,0,3,5,2008,130000
1958,580,1601,1,0,3,6,2008,140000
1959,0,1040,1,0,3,6,2006,133700
1920,0,1012,1,0,2,6,2007,118400
2005,0,1552,2,0,3,7,2006,212900
1956,0,960,1,0,3,5,2009,112000
1947,0,698,1,0,2,4,2009,118000
1992,670,1482,2,1,3,7,2007,163900
1955,0,1005,1,0,2,5,2009,115000
2007,0,1555,2,0,2,7,2009,174000
2004,0,1530,2,0,3,7,2007,259000
2004,1112,1959,2,1,4,8,2007,215000
1980,0,936,1,0,2,4,2007,140000
1928,653,1981,2,0,4,7,2009,135000
1991,0,974,1,0,3,5,2007,93500
1880,1032,2210,2,0,5,8,2007,117500
1995,878,2020,2,1,3,8,2009,239500
1997,684,1600,2,1,3,7,2007,169000
1926,0,986,1,0,2,5,2007,102000
1950,220,1252,1,0,3,6,2008,119000
1875,240,1020,1,0,2,6,2010,94000
1977,0,1567,2,0,2,5,2009,196000
1920,0,1167,1,0,3,6,2007,144000
1951,0,952,1,0,2,4,2008,139000
1976,780,1868,2,1,4,9,2009,197500
2006,1362,2828,3,0,4,11,2007,424870
1959,0,1006,1,0,3,5,2008,80000
1941,252,924,1,0,2,5,2010,80000
1928,534,1576,1,0,3,8,2006,149000
1985,0,1298,2,0,3,5,2006,180000
1941,704,1564,1,1,3,7,2009,174500
1926,539,1111,1,0,2,5,2008,116900
1920,650,1482,1,0,3,7,2009,143000
1950,0,932,1,0,2,4,2007,124000
1959,0,1466,1,1,3,6,2006,149900
1956,0,1811,1,0,2,6,2006,230000
1930,0,816,1,0,2,5,2008,120500
1965,918,1820,1,2,4,8,2008,201800
1976,0,1437,2,0,3,6,2007,218000
1965,0,1265,2,0,3,6,2008,179900
2007,0,1314,2,0,2,6,2009,230000
2007,0,1580,2,0,3,7,2008,235128
1974,933,1876,2,1,4,8,2008,185000
1978,601,1456,2,1,3,7,2010,146000
1954,0,1640,1,0,3,7,2008,224000
1968,0,894,1,0,3,5,2007,129000
1969,0,1258,0,2,0,6,2008,108959
1978,0,1432,1,1,2,5,2007,194000
2009,0,1502,2,0,3,7,2009,233170
2008,0,1694,2,0,3,7,2010,245350
2000,712,1671,2,1,3,7,2006,173000
1935,872,2108,2,0,4,7,2008,235000
1995,1796,3627,3,1,4,10,2006,625000
1977,0,1118,1,0,3,6,2008,171000
1958,0,1261,1,0,3,6,2008,163000
2006,625,1250,2,1,2,5,2008,171900
1946,971,3086,3,0,3,12,2007,200500
1932,1175,2345,2,1,4,9,2006,239000
1992,743,2872,2,1,4,9,2007,285000
1984,0,923,1,0,3,5,2008,119500
1926,406,1224,1,0,3,5,2009,115000
1921,523,1343,1,1,3,7,2009,154900
1954,0,1124,1,0,3,5,2006,93000
1990,1216,2514,2,1,4,8,2006,250000
2008,0,1652,2,0,2,5,2008,392500
1996,2065,4476,3,1,4,10,2007,745000
1920,0,1130,1,0,2,5,2006,120000
1963,0,1572,1,1,3,5,2007,186700
1924,272,1221,1,0,4,7,2006,104900
1900,685,1699,2,0,3,7,2009,95000
1994,0,1624,2,0,2,5,2006,262000
2002,829,1660,2,1,3,7,2009,195000
1999,776,1804,2,1,3,7,2010,189000
1961,0,1622,1,0,3,7,2007,168000
1999,677,1441,2,1,2,5,2007,174000
1925,630,1472,1,0,3,6,2007,125000
1999,0,1224,2,0,2,5,2009,165000
1969,689,1352,1,1,4,7,2010,158000
2005,728,1456,2,1,3,8,2008,176000
2006,984,1863,2,1,4,9,2006,219210
1916,875,1690,1,0,3,7,2006,144000
2001,0,1212,2,0,3,6,2009,178000
1963,0,1382,1,1,3,6,2006,148000
1970,0,864,1,0,3,5,2006,116050
1998,913,1779,2,1,3,6,2009,197900
1925,464,1348,1,0,3,5,2009,117000
2000,0,1630,2,0,3,6,2009,213000
1975,0,1074,1,1,3,6,2006,153500
1990,0,2196,2,0,3,7,2009,271900
1966,0,1056,1,0,2,5,2006,107000
2003,0,1700,2,0,3,7,2006,200000
1962,0,1283,1,0,3,6,2008,140000
2006,0,1660,2,0,3,8,2006,290000
1992,790,1845,2,1,3,8,2010,189000
1988,672,1752,2,0,4,8,2010,164000
1941,0,672,1,0,2,4,2009,113000
1965,0,960,0,0,0,3,2006,145000
1962,0,999,1,0,3,6,2006,134500
1966,0,894,1,0,3,5,2007,125000
1978,584,1902,2,0,4,8,2010,112000
2009,0,1314,2,0,3,6,2009,229456
1947,240,912,1,0,2,3,2006,80500
1971,546,1218,1,1,3,7,2006,91500
1964,0,912,1,0,2,5,2006,115000
1968,0,1211,1,0,3,5,2008,134000
1949,678,1846,2,0,3,7,2007,143000
1951,0,2136,2,0,4,7,2006,137900
2004,702,1490,2,1,3,8,2008,184000
1958,0,1138,1,0,3,6,2007,145000
2007,1039,1933,2,1,4,9,2008,214000
1965,0,912,1,0,2,5,2008,147000
2008,0,1702,1,1,1,7,2008,367294
1960,0,1507,2,0,4,7,2008,127000
1977,1259,2620,2,2,4,12,2007,190000
1962,0,1190,1,0,3,6,2006,132500
1962,0,1224,2,0,2,6,2007,101800
1959,0,1188,1,0,3,6,2010,142000
1911,940,1964,1,1,4,7,2008,130000
1914,892,1784,1,1,4,9,2006,138887
2003,862,1626,2,1,2,6,2010,175500
2004,1101,1948,2,1,4,8,2006,195000
2005,0,1141,1,1,3,6,2006,142500
2006,0,1484,2,0,2,6,2007,265900
2003,884,1768,2,1,3,8,2008,224900
2007,0,1689,2,0,3,7,2007,248328
1974,0,1173,2,0,3,6,2010,170000
2006,0,2076,2,1,2,7,2006,465000
1929,725,1517,1,0,3,7,2006,230000
1984,728,1868,3,1,3,7,2007,178000
2005,797,1553,2,1,3,6,2006,186500
1976,0,1034,1,0,3,6,2010,169900
1917,924,2058,1,1,3,8,2008,129500
1950,0,988,1,0,3,6,2007,119000
1968,0,2110,2,1,3,8,2010,244000
2003,0,1405,2,0,2,6,2006,171750
1968,0,874,1,0,3,5,2009,130000
1974,651,2167,2,1,3,9,2007,294000
2003,896,1656,2,1,3,7,2008,165400
1931,408,1367,1,0,3,6,2007,127500
1994,0,1987,2,0,2,7,2008,301500
1922,0,864,1,0,2,4,2009,99900
2005,0,1166,2,0,2,5,2008,190000
1969,0,1054,1,1,3,6,2008,151000
1999,783,1675,2,1,3,7,2009,181000
1956,0,1050,1,0,2,5,2009,128900
1957,684,1788,1,0,5,8,2009,161500
1919,764,1824,1,0,3,8,2007,180500
1998,0,1337,2,0,2,5,2008,181000
1999,739,1452,2,1,3,6,2006,183900
1910,925,1889,1,1,4,9,2007,122000
